Model,Accuracy,Precision,Recall,F1
SVM (baseline),0.8289473684210527,0.4613733905579399,0.9071729957805907,0.6116642958748222
Random Forest (baseline),0.8878446115288221,0.6115384615384616,0.6708860759493671,0.6398390342052314
KNN (baseline),0.8220551378446115,0.44835164835164837,0.8607594936708861,0.5895953757225434
SVM (tuned),0.8364661654135338,0.4724770642201835,0.869198312236287,0.612184249628529
Random Forest (tuned),0.8840852130325815,0.5984848484848485,0.6666666666666666,0.6307385229540918
KNN (tuned),0.8471177944862155,0.4896755162241888,0.70042194092827,0.5763888888888888
